id,seedLabel,seed,age,presentation,identityBits,appearanceBits,style,sf2Code,dataSha256
B001,sports-face/v0.2.1/baseline/B001,3494309948,23,masculine,4252938,1687,sports/default-v2,SF2~sports/default-v2~2j5l6~1av~1lsf6t8~n~m~0f766e~facc15~03y63f7,bd12fc4964f752ef6b5f481f17456b9291b59faaadce308a06e634cbd127a34b
B002,sports-face/v0.2.1/baseline/B002,3544642805,40,feminine,864931,1163,sports/default-v2,SF2~sports/default-v2~ijdv~wb~1mmdzw5~14~f~111827~f97316~1flamca,7e3bdc42ffea0f2fd53300535afbfe925770fb3442c908ce7ac757bffee91c82
B003,sports-face/v0.2.1/baseline/B003,3527865186,57,neutral,111756500,2448,sports/default-v2,SF2~sports/default-v2~1ujbv8~1w0~1mcee76~1l~n~f8fafc~111827~0qpmbht,178c34f370bb0ae8eea31cdd074a8c9ae657f02f1eb96284d6afbb8d9333bfa2
B004,sports-face/v0.2.1/baseline/B004,3443977091,29,masculine,374536388,1554,sports/default-v2,SF2~sports/default-v2~66zm4k~176~1kygdqb~t~m~be123c~0f172a~01tlljz,a2cd1c237c645d5557e58583f4f1299947cfe9e8ab0f91b710148fb3e4a8f3d4
B005,sports-face/v0.2.1/baseline/B005,3427199472,46,feminine,285884085,5634,sports/default-v2,SF2~sports/default-v2~4q7hkl~4ci~1kogs1c~1a~f~7e22ce~f8fafc~15sddpy,c19e3bf979f98afaf773a35d13bed45c1e52dc8683abd06b857cb3c344da15b4
B006,sports-face/v0.2.1/baseline/B006,3477532329,18,neutral,112316756,5635,sports/default-v2,SF2~sports/default-v2~1uvc5w~4cj~1lifl49~i~n~0f766e~facc15~04mk1sl,7bc4fb92432432b593fac1a772403eb52d2909f80792c9b2f2195f2b60873a80
B007,sports-face/v0.2.1/baseline/B007,3460754710,35,masculine,305783371,1796,sports/default-v2,SF2~sports/default-v2~521zyj~1dw~1l8fzfa~z~m~1d4ed8~facc15~12oli0r,e099fe4702fd3747af149c6d3431e81514b6ba9676f9b1478430c100a8008da8
B008,sports-face/v0.2.1/baseline/B008,3645308519,52,feminine,176556778,3207,sports/default-v2,SF2~sports/default-v2~2x482y~2h3~1oabm1z~1g~f~7e22ce~f8fafc~0kd7uur,07655ed23a4a659a3308b777146331b5a40d9fc53de13e722528026d682d99cd
B009,sports-face/v0.2.1/baseline/B009,3628530900,24,neutral,205048049,1922,sports/default-v2,SF2~sports/default-v2~3e2w35~1he~1o0c0d0~o~n~b91c1c~f8fafc~0c8ontq,334d4b8dd729a4e410fc22bbf765d94a855d56be535b4b182e95583606e18b46
B010,sports-face/v0.2.1/baseline/B010,3410274758,41,masculine,317360732,1186,sports/default-v2,SF2~sports/default-v2~58y53w~wy~1kee0ue~15~m~0f766e~facc15~1f73jk1,1288b544de2255d40e475aa2bc895c4c2afb900324ed5f11c7deaad4896239e9
B011,sports-face/v0.2.1/baseline/B011,3427052377,58,feminine,351821179,1675,sports/default-v2,SF2~sports/default-v2~5tgqyj~1aj~1kodmjd~1m~f~be123c~0f172a~167nye7,68d290941c5a85fb6444b4cb4b7b8d4ed2f57ed555f0c54773e29d96f6892edc
B012,sports-face/v0.2.1/baseline/B012,3376719520,30,neutral,353680410,3712,sports/default-v2,SF2~sports/default-v2~5uklju~2v4~1juetgg~u~n~f8fafc~111827~1amvgem,d28b8f16973858c6e97704e5d47ac20018d70401a1675baf810a0520d13b3060
B013,sports-face/v0.2.1/baseline/B013,3393497139,47,masculine,290082547,1576,sports/default-v2,SF2~sports/default-v2~4sph4j~17s~1k4ef5f~1b~m~0f766e~facc15~1lmz0u7,a54c35958b256ae654af8f126175b52c60aad7ce30baaa41a14569a8347468ee
B014,sports-face/v0.2.1/baseline/B014,3477385234,19,feminine,281672546,5771,sports/default-v2,SF2~sports/default-v2~4np7xe~4gb~1licfma~j~f~0f766e~facc15~08qunw7,4df681359cd15e22388242b6655171aceb4384448935c5bb836869424213b4cb
B015,sports-face/v0.2.1/baseline/B015,3494162853,36,neutral,272649397,1542,sports/default-v2,SF2~sports/default-v2~4ibtmd~16u~1lsc1b9~10~n~7e22ce~f8fafc~03juh32,2699d648359edf50fe95e03344b18e7503196a265ddaa829a26393ee850f057c
B016,sports-face/v0.2.1/baseline/B016,3443829996,53,masculine,212924997,1683,sports/default-v2,SF2~sports/default-v2~3irpz9~1ar~1kyd88c~1h~m~b91c1c~f8fafc~1ir5e58,bd3a44e73b7031ed4c00b23213e82c1488a051a1446a8e219397271f6d69d9da
B017,sports-face/v0.2.1/baseline/B017,3460607615,25,feminine,104294748,1542,sports/default-v2,SF2~sports/default-v2~1q3ecc~16u~1l8ctxb~p~f~7e22ce~f8fafc~1j45nlk,eaea10e75f186976f6611cf20847e5298a80dd272c9df24708285e99390b35ca
B018,sports-face/v0.2.1/baseline/B018,3544495710,42,neutral,359492728,1671,sports/default-v2,SF2~sports/default-v2~5y16d4~1af~1mmaue6~16~n~b91c1c~f8fafc~0s58w0n,e1c0b3522258df470998b4fbd36af1df27b95c6e059bd01231d182f479dc3e1a
B019,sports-face/v0.2.1/baseline/B019,3561273329,59,masculine,301094485,1286,sports/default-v2,SF2~sports/default-v2~4z9hzp~zq~1mwag35~1n~m~111827~f97316~1n5oecx,9a0dbfb20cac16fadd60aa038fe7ff7c11cf13b80836c906dd93191b9cc4acb0
B020,sports-face/v0.2.1/baseline/B020,1698810525,31,feminine,317252432,1414,sports/default-v2,SF2~sports/default-v2~58vtjk~13a~s3fel9~v~f~0f766e~facc15~0idcwl0,b645c7eb40ecd20cd4e379287625621ed8738550e2bf6caa2117024a9f2099e3
B021,sports-face/v0.2.1/baseline/B021,1682032906,48,neutral,134769412,1291,sports/default-v2,SF2~sports/default-v2~288kqs~zv~rtfswa~1c~n~0f766e~facc15~1nkg861,d14178ffab3a9297f05433435e76d783e0af07566f0f88030763df21f6a5a1b9
B022,sports-face/v0.2.1/baseline/B022,1665255287,20,masculine,105236861,1834,sports/default-v2,SF2~sports/default-v2~1qnla5~1ey~rjg77b~k~m~166534~f8fafc~1aib9z1,731abb874d6692640e585fcc246d5f564bb41e966a7917e1476baff53f0e92ce
